lncRNA	sm	p1	p2	reg	reg.1
GABPB1-AS1	784	0.42276058	0.57723945	0.0	1.0
lnc-DLK1-35	969516	0.41854772	0.5814523	1.0	0.0
MIR22HG	6918837	0.5015292	0.4984708	0.0	1.0
NEAT1	5462328	0.44344035	0.5565597	0.0	1.0
NEAT1	6918837	0.47708103	0.52291894	1.0	0.0
lnc-EYS-2	6857599	0.4028555	0.59714454	1.0	0.0
LINC00467	6918837	0.4667668	0.53323317	1.0	0.0
lnc-STAT1-2	6918837	0.48906976	0.51093024	0.0	1.0
lnc-TMEM243-1	6918837	0.48331836	0.5166817	1.0	0.0
lnc-CPO-4	6918837	0.44359285	0.55640715	1.0	0.0
lnc-ITGA4-1	6918837	0.48886034	0.51113963	0.0	1.0
BVES-AS1	6918837	0.466683	0.53331697	0.0	1.0
CAMTA1-IT1	6918837	0.4027384	0.59726167	0.0	1.0
lnc-PCGF2-1	6918837	0.4947867	0.5052133	1.0	0.0
lnc-ADPRM-1	6918837	0.4377569	0.5622431	1.0	0.0
lnc-MTRR-1	6918837	0.4586997	0.54130024	1.0	0.0
lnc-TMC7-1	6918837	0.4668211	0.53317887	1.0	0.0
lnc-CBFA2T3-1	6918837	0.4746711	0.52532893	1.0	0.0
DIO3OS	6918837	0.46040997	0.53959006	1.0	0.0
FRMD6-AS1	6918837	0.47970954	0.5202905	1.0	0.0
LINC02154	6918837	0.4247694	0.57523066	0.0	1.0
lnc-MARCH4-1	6918837	0.5011877	0.4988123	0.0	1.0
lnc-METRNL-10	6918837	0.4355763	0.56442374	1.0	0.0
lnc-PSMD7-8	6918837	0.4877087	0.5122914	0.0	1.0
lnc-CPLX1-2	6918837	0.4330705	0.56692946	1.0	0.0
lnc-COX10-3	6918837	0.45486128	0.5451387	0.0	1.0
AFDN-DT	6918837	0.41108382	0.5889162	1.0	0.0
NAV2-AS2	6918837	0.44702616	0.55297387	0.0	1.0
NAV2-IT1	6918837	0.4471944	0.5528056	1.0	0.0
PLUT	6918837	0.4563032	0.5436968	0.0	1.0
lnc-GOLGA6B-1	6918837	0.41484737	0.5851526	0.0	1.0
lnc-FZD1-2	6918837	0.419874	0.580126	1.0	0.0
lnc-NRG1-2	6918837	0.28131744	0.7186826	0.0	1.0
LINC02531	6918837	0.49454516	0.50545484	1.0	0.0
lnc-SPATA31D1-4	6918837	0.4919844	0.50801563	0.0	1.0
lnc-MARCH10-1	6918837	0.49339733	0.5066027	0.0	1.0
lnc-ZNF395-1	6918837	0.46233597	0.537664	0.0	1.0
lnc-SUPT6H-3	6918837	0.43353176	0.56646824	1.0	0.0
lnc-C16orf78-11	6918837	0.42666805	0.57333195	0.0	1.0
lnc-TTLL11-1	6918837	0.41094393	0.589056	0.0	1.0
lnc-NPIPB15-1	6918837	0.4686796	0.53132045	0.0	1.0
lnc-ZNF639-1	6918837	0.44569975	0.55430025	1.0	0.0
lnc-NOS2-5	6918837	0.43307862	0.5669214	0.0	1.0
lnc-CUL2-1	6918837	0.47496024	0.5250398	1.0	0.0
lnc-ANKRD30A-4	6918837	0.48101047	0.5189895	0.0	1.0
LINC00310	6918837	0.47239444	0.5276056	1.0	0.0
LINC00320	6918837	0.398628	0.601372	0.0	1.0
LINC00476	6918837	0.43022072	0.5697792	0.0	1.0
LINC00491	6918837	0.4690305	0.5309695	0.0	1.0
LINC00524	6918837	0.44276798	0.557232	1.0	0.0
LINC00624	6918837	0.39901483	0.6009852	0.0	1.0
lnc-EGR2-1	6918837	0.46912536	0.5308746	1.0	0.0
lnc-BOLA2B-1	6918837	0.4191868	0.58081317	0.0	1.0
SLC12A5-AS1	6918837	0.28098008	0.7190199	0.0	1.0
lnc-ACTL8-1	6918837	0.416323	0.583677	0.0	1.0
lnc-FAM78B-1	6918837	0.4482324	0.5517676	0.0	1.0
lnc-GBE1-5	6918837	0.48389557	0.51610446	1.0	0.0
lnc-ZC3H14-1	6918837	0.4100335	0.5899665	1.0	0.0
UVRAG-DT	6918837	0.4930534	0.5069466	1.0	0.0
lnc-PRDM4-1	6918837	0.49000615	0.50999385	1.0	0.0
lnc-NFKBIA-2	6918837	0.40101668	0.5989833	0.0	1.0
lnc-SLIT2-1	6918837	0.44094533	0.55905473	1.0	0.0
lnc-POLR1E-2	6918837	0.39960355	0.60039645	0.0	1.0
lnc-RTN1-1	6918837	0.4381111	0.5618889	1.0	0.0
lnc-GPR149-1	6918837	0.44427377	0.55572623	0.0	1.0
lnc-LDLRAP1-1	6918837	0.41476148	0.5852385	1.0	0.0
lnc-TC2N-1	6918837	0.47782105	0.52217895	0.0	1.0
LINC02387	6918837	0.4752618	0.52473813	1.0	0.0
lnc-SLC26A8-1	6918837	0.4666152	0.5333848	0.0	1.0
lnc-ROM1-2	6918837	0.4901688	0.5098312	1.0	0.0
lnc-ATG2B-16	6918837	0.47190747	0.52809256	1.0	0.0
lnc-ZMYND19-21	6918837	0.45883462	0.5411654	1.0	0.0
LINC02280	6918837	0.4976951	0.5023049	1.0	0.0
lnc-TP53TG3C-4	6918837	0.4091627	0.5908373	0.0	1.0
lnc-GRIK2-2	6918837	0.42233896	0.57766104	0.0	1.0
lnc-SLC2A4RG-2	6918837	0.40025213	0.59974784	0.0	1.0
lnc-CENPS-CORT-1	6918837	0.48981136	0.5101887	1.0	0.0
lnc-USP53-4	6918837	0.50029266	0.4997073	0.0	1.0
IL6R-AS1	6918837	0.46018854	0.53981143	0.0	1.0
lnc-SYT1-3	6918837	0.25310254	0.7468974	0.0	1.0
lnc-EIF2AK4-4	6918837	0.43561828	0.5643817	1.0	0.0
lnc-INSC-2	6918837	0.45662424	0.5433758	0.0	1.0
lnc-SLCO4A1-5	6918837	0.44195032	0.5580497	0.0	1.0
SNRK-AS1	6918837	0.48305938	0.5169406	0.0	1.0
lnc-CCNB1IP1-1	6918837	0.45352224	0.54647774	1.0	0.0
lnc-TSR3-5:1	6857599	0.4363823	0.56361765	1.0	0.0
CDKN2B-AS1	6918837	0.4707243	0.5292757	0.0	1.0
HIF1A-AS1	60606	0.44272864	0.55727136	0.0	1.0
SNHG15	6918837	0.49373072	0.5062693	0.0	1.0
PXN-AS1	6918837	0.46981725	0.5301828	1.0	0.0
lnc-CHMP7-1	6918837	0.48425287	0.5157472	1.0	0.0
lnc-USP6-4	6918837	0.45816904	0.54183096	1.0	0.0
lnc-MACC1-1	6918837	0.41983303	0.580167	1.0	0.0
lnc-MYCN-132	6918837	0.49458626	0.5054137	1.0	0.0
lnc-NTSR2-2	6918837	0.40484673	0.5951533	0.0	1.0
lnc-RPRM-1	6918837	0.4839822	0.5160178	0.0	1.0
lnc-CCKAR-3	6918837	0.43204418	0.5679558	0.0	1.0
BDNF-AS	6918837	0.47158295	0.52841705	1.0	0.0
lnc-GSDMC-34	6918837	0.48907986	0.5109201	0.0	1.0
lnc-PTTG1-2	6918837	0.4463833	0.5536167	0.0	1.0
lnc-APC-5	6918837	0.4681771	0.53182286	1.0	0.0
lnc-FANCF-3	6918837	0.4903559	0.5096441	1.0	0.0
lnc-C5orf58-1	6918837	0.44447637	0.55552363	0.0	1.0
LINC02323	6918837	0.50280374	0.49719626	1.0	0.0
FMR1-AS1	6918837	0.43830076	0.5616992	0.0	1.0
IQCH-AS1	6918837	0.40359193	0.59640807	1.0	0.0
lnc-TSPYL6-2	6918837	0.46834064	0.5316593	0.0	1.0
LSAMP-AS1	6918837	0.46689552	0.5331045	0.0	1.0
PCBP1-AS1	6918837	0.4074288	0.59257114	1.0	0.0
PCOLCE-AS1	6918837	0.49675563	0.5032444	1.0	0.0
lnc-POU5F1B-7	6918837	0.47729328	0.5227067	1.0	0.0
lnc-RDH14-1	6918837	0.47107983	0.5289202	1.0	0.0
lnc-FABP5-2	6918837	0.461095	0.53890496	1.0	0.0
lnc-TBL1XR1-5	6918837	0.49323016	0.50676984	1.0	0.0
lnc-LRP8-3	6918837	0.45758438	0.5424156	1.0	0.0
lnc-RUNX1T1-3	6918837	0.49675333	0.5032466	1.0	0.0
lnc-BCL6-4	6918837	0.494984	0.505016	1.0	0.0
lnc-IFIT2-1	6918837	0.48025724	0.5197427	1.0	0.0
lnc-ETNK1-4	6918837	0.48566487	0.5143351	0.0	1.0
lnc-RPRML-3	6918837	0.46278825	0.5372118	0.0	1.0
lnc-PIP4P1-1	6918837	0.4195491	0.5804509	0.0	1.0
lnc-PDGFRA-2	6918837	0.5034916	0.4965084	0.0	1.0
lnc-FAM69C-1	6918837	0.49412236	0.5058777	1.0	0.0
lnc-CDKL1-1	6918837	0.4015869	0.5984131	1.0	0.0
lnc-NFIB-1	6918837	0.46171814	0.53828186	0.0	1.0
lnc-C3orf67-1	6918837	0.41701984	0.58298016	0.0	1.0
lnc-PLEKHM1-12	6918837	0.43849778	0.5615022	0.0	1.0
lnc-CPHXL-1	6918837	0.4479065	0.5520935	0.0	1.0
lnc-HMG20A-2	6918837	0.475789	0.524211	0.0	1.0
lnc-EIF4EBP1-1	6918837	0.41818443	0.58181554	0.0	1.0
lnc-TMPRSS2-83	6918837	0.33876207	0.6612379	0.0	1.0
lnc-ATG5-1	6918837	0.40090746	0.59909254	1.0	0.0
lnc-DHX37-9	6918837	0.41185847	0.5881415	0.0	1.0
lnc-AP1S2-2	6918837	0.49620265	0.50379735	1.0	0.0
lnc-HOXB1-1	6918837	0.47852343	0.5214765	1.0	0.0
lnc-C12orf56-1	6918837	0.4864617	0.5135383	0.0	1.0
lnc-NOMO2-2	6918837	0.48735934	0.51264066	1.0	0.0
lnc-COL5A1-3	6918837	0.48891085	0.5110892	1.0	0.0
lnc-LBR-1	6918837	0.46634838	0.53365165	0.0	1.0
lnc-ZFC3H1-3	6918837	0.45485243	0.5451476	0.0	1.0
lnc-NUTM2B-1	6918837	0.42673478	0.5732652	1.0	0.0
ATP2C2-AS1	6918837	0.44939238	0.5506077	0.0	1.0
lnc-ZNF487-1	6918837	0.4102783	0.58972174	0.0	1.0
lnc-SAMD11-1	6918837	0.48546895	0.5145311	0.0	1.0
lnc-PPP1R26-6	6918837	0.4451362	0.55486387	0.0	1.0
lnc-DRD5-5	6918837	0.4324324	0.5675676	0.0	1.0
lnc-SLC43A1-1	6918837	0.39717087	0.60282916	0.0	1.0
lnc-KBTBD3-1	6918837	0.44681618	0.55318385	1.0	0.0
lnc-CDON-1	6918837	0.40774104	0.592259	1.0	0.0
lnc-PRR15L-2	6918837	0.49478912	0.50521094	1.0	0.0
